"playerId","fg","fgAtt","xp","fgMiss","analyst","player","position","games","fg0019","fg2029","fg3039","fg4049","fg50","fg0039","season"
2550545,30.6,34.3,42.3,3.7,-1,"Chris Boswell","K",NA,NA,NA,NA,NA,NA,NA,2017
2550636,28.3,32.4,38.1,4.1,-1,"Cairo Santos","K",NA,NA,NA,NA,NA,NA,NA,2017
2553833,28.8,35.4,39,6.6,-1,"Josh Lambo","K",NA,NA,NA,NA,NA,NA,NA,2017
2556521,29.5,35.3,30.2,5.8,-1,"Kaimi Fairbairn","K",NA,NA,NA,NA,NA,NA,NA,2017
2556601,29.6,36,47,6.4,-1,"Wil Lutz","K",NA,NA,NA,NA,NA,NA,NA,2017
2556771,23.1,27.7,32.4,4.6,-1,"Aldrick Rosas","K",NA,NA,NA,NA,NA,NA,NA,2017
2558178,19.6,23.6,25.2,4,-1,"Zane Gonzalez","K",NA,NA,NA,NA,NA,NA,NA,2017
2558245,0.1,0.1,0.1,0,-1,"Harrison Butker","K",NA,NA,NA,NA,NA,NA,NA,2017
71309,26,NA,38,NA,3,"Graham Gano","K",16,0,5,8,10,3,NA,2017
89802,25.2,NA,41.3,NA,3,"Ryan Succop","K",16,1,4,8.1,9.1,3,NA,2017
2495150,23,NA,35.2,NA,3,"Kai Forbath","K",16,0,4,9,8,2,NA,2017
2495259,31.2,NA,49.9,NA,3,"Dan Bailey","K",16,2.1,7.3,12.5,6.2,3.1,NA,2017
2500351,25.3,NA,41.6,NA,3,"Phil Dawson","K",16,0,6.1,8.1,9.1,2,NA,2017
2503471,27.3,NA,43.4,NA,3,"Adam Vinatieri","K",16,0,4,8.1,9.1,6.1,NA,2017
2504257,27.4,NA,40.7,NA,3,"Sebastian Janikowski","K",16,1,8.1,7.1,8.1,3.1,NA,2017
2504797,28.7,NA,49.3,NA,3,"Matt Bryant","K",16,0,9.2,8.2,7.2,4.1,NA,2017
2506194,0,NA,0,NA,3,"Nick Novak","K",NA,0,0,0,0,0,NA,2017
2506264,23,NA,28.6,NA,3,"Robbie Gould","K",16,1,4.8,8.6,6.7,1.9,NA,2017
2506386,0,NA,0,NA,3,"Mike Nugent","K",NA,0,0,0,0,0,NA,2017
2506677,25,NA,38,NA,3,"Matt Prater","K",16,0,8,4,5,8,NA,2017
2506922,29.6,NA,54.9,NA,3,"Stephen Gostkowski","K",16,1.1,7.4,11.6,7.4,2.1,NA,2017
