"player_id","trim_name","player_name","position","status","draft_year","years_played","gsis_id"
1683,"DURANTBROOKS","Durant Brooks","P","RET",2008,3,NA
1685,"TITUSBROWN","Titus Brown","LB","RET",2008,4,NA
1687,"CALEBCAMPBELL","Caleb Campbell","CB","RET",2008,2,NA
1687,"CALEBCAMPBELL","Caleb Campbell","LB","RET",2010,2,NA
1691,"JOECLERMOND","Joe Clermond","DL","RET",2008,2,NA
1693,"ANGELOCRAIG","Angelo Craig","DL","RET",2008,1,NA
1702,"DICKSONBILL","Dickson Bill","DL","RET",2008,4,NA
1704,"MIKEDRAGOSAVICH","Mike Dragosavich","P","RET",2008,1,NA
1706,"ANDREFLUELLEN","Andre Fluellen","DL","RET",2008,8,NA
1708,"WILREYFONTENOT","Wilrey Fontenot","CB","RET",2008,2,NA
1710,"CURTISGATEWOOD","Curtis Gatewood","LB","RET",2008,4,NA
1712,"JEREMYGEATHERS","Jeremy Geathers","DL","RET",2008,1,NA
1714,"JONATHANGOFF","Jonathan Goff","LB","RET",2008,4,NA
1718,"RYANGRICEMULLEN","Ryan GriceMullen","WR","RET",2008,2,NA
1720,"LETROYGUION","Letroy Guion","DL","RET",2008,9,NA
1722,"GARYGUYTON","Gary Guyton","LB","RET",2008,6,NA
1724,"DENNISKEYES","Dennis Keyes","CB","RET",2008,2,NA
1726,"JUSTINKING","Justin King","CB","RET",2008,5,NA
1732,"BRYANMATTISON","Bryan Mattison","DL","RET",2008,2,NA
1732,"BRYANMATTISON","Bryan Mattison","OL","RET",2009,4,NA
1734,"JAMEELMCCLAIN","Jameel McClain","LB","RET",2008,8,NA
1820,"JAMARADAMS","Jamar Adams","CB","RET",2008,4,NA
1962,"JOSHBARRETT","Josh Barrett","CB","RET",2008,5,NA
1966,"JOHNCARLSON","John Carlson","TE","RET",2008,7,"00-0026178"
1968,"SIMEONCASTILLE","Simeon Castille","CB","RET",2008,4,NA
1970,"TASHARDCHOICE","Tashard Choice","RB","RET",2008,6,"00-0026262"
1972,"BRADCOTTAM","Brad Cottam","TE","RET",2008,3,NA
1978,"JONATHANHEFNEY","Jonathan Hefney","CB","RET",2008,2,NA
1980,"PEYTONHILLIS","Peyton Hillis","RB","RET",2008,7,"00-0026367"
1982,"CHRISHORTON","Chris Horton","CB","RET",2008,5,NA
