"playerId","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","analyst","player","position","games","rush1st","rush40","rec1st","rec40","returnYds","returnTds","twoPts","rush100","rush150","rush200","regTds","season"
2552469,272,1067,8.7,45,434,1.7,3.8,-1,"Melvin Gordon","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2552471,75,283,1.2,28,175,0.5,1.5,-1,"T.J. Yeldon","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2552477,51,267,5.5,15,101,0.9,1.7,-1,"Aaron Ripkowski","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2552582,259,1145,7.7,32,199,0.8,1.3,-1,"Jay Ajayi","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2552631,79,311,1.6,23,161,0.8,1.5,-1,"Javorius Allen","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2553435,270,1058,11.1,72,769,3.5,3.1,-1,"David Johnson","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2553446,1,2,0,5,43,0,0.4,-1,"Malcolm Johnson","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2553631,21,78,0.9,5,49,0,0.3,-1,"Zach Zenner","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2553650,12,57,0.4,1,11,0.3,0.2,-1,"Corey Grant","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2553660,5,29,0,2,12,0,0.2,-1,"Akeem Hunt","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2553728,7,29,0.2,1,7,0,0.2,-1,"Raheem Mostert","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2553733,158,644,5.9,19,138,0.8,0.9,-1,"Thomas Rawls","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2553762,12,55,0.1,1,12,0,0.1,-1,"Terron Ward","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
230,0,0,0,0,0,0,0,3,"Jerome Felton","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
234,0,0,0,0,0,0,0,3,"Matt Forte","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
262,0,0,0,0,0,0,0,3,"Chris Johnson","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
284,0,0,0,0,0,0,0,3,"Darren McFadden","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
925,0,0,0,0,0,0,0,3,"Jamaal Charles","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
927,0,0,0,0,0,0,0,3,"Justin Forsett","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
949,0,0,0,0,0,0,0,3,"Jonathan Stewart","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
4327,0,0,0,0,0,0,0,3,"Danny Woodhead","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
4383,0,0,0,0,0,0,0,3,"Tim Hightower","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
4433,0,0,0,0,0,0,0,3,"Marcel Reece","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
71345,0,0,0,0,0,0,0,3,"Rashad Jennings","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
79607,0,0,0,0,0,0,0,3,"LeSean McCoy","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
79629,0,0,0,0,0,0,0,3,"Cedric Peerman","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
89798,0,0,0,0,0,0,0,3,"Antone Smith","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
497145,0,0,0,0,0,0,0,3,"Joique Bell","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
497149,0,0,0,0,0,0,0,3,"LeGarrette Blount","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
497188,0,0,0,0,0,0,0,3,"Ryan Mathews","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
497190,0,0,0,0,0,0,0,3,"Dexter McCluster","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
497204,0,0,0,0,0,0,0,3,"C.J. Spiller","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
497206,0,0,0,0,0,0,0,3,"James Starks","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2495207,0,0,0,0,0,0,0,3,"DeMarco Murray","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2495258,0,0,0,0,0,0,0,3,"Matt Asiata","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2495328,0,0,0,0,0,0,0,3,"Bilal Powell","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2495340,0,0,0,0,0,0,0,3,"Anthony Sherman","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2495466,0,0,0,0,0,0,0,3,"Mark Ingram","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2495467,0,0,0,0,0,0,0,3,"Taiwan Jones","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2495469,0,0,0,0,0,0,0,3,"Dion Lewis","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2495470,0,0,0,0,0,0,0,3,"Stevan Ridley","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2495471,0,0,0,0,0,0,0,3,"Jacquizz Rodgers","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2495472,0,0,0,0,0,0,0,3,"Jordan Todman","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2495473,0,0,0,0,0,0,0,3,"Shane Vereen","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2495663,0,0,0,0,0,0,0,3,"Marshawn Lynch","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2495979,0,0,0,0,0,0,0,3,"DeAngelo Williams","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2506147,0,0,0,0,0,0,0,3,"John Kuhn","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2506404,0,0,0,0,0,0,0,3,"Frank Gore","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2506467,0,0,0,0,0,0,0,3,"Darren Sproles","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2506874,0,0,0,0,0,0,0,3,"Reggie Bush","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2507164,0,0,0,0,0,0,0,3,"Adrian Peterson","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2507428,0,0,0,0,0,0,0,3,"Mike Tolbert","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2507737,0,0,0,0,0,0,0,3,"Darrel Young","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2507999,0,0,0,0,0,0,0,3,"Chris Ivory","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2508101,0,0,0,0,0,0,0,3,"James Develin","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2527672,0,0,0,0,0,0,0,3,"Will Tukuafu","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2530690,0,0,0,0,0,0,0,3,"DuJuan Harris","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
2530763,0,0,0,0,0,0,0,3,"Patrick DiMarco","RB",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,2015
