"trim_name","position","stdev","adp"
"NEWENGLANDPATRIOTS","DST",20,"211.3"
"NEWORLEANSSAINTS","DST",20,"182.3"
"NEWYORKGIANTS","DST",20,"268.0"
"NEWYORKJETS","DST",20,"233.5"
"NICKCHUBB","RB",8.5,"102.1"
"NICKFOLES","QB",20,"262.0"
"NICKVANNETT","TE",20,"314.0"
"NYHEIMHINES","RB",14.9,"138.8"
"ODELLBECKHAM","WR",2,"12.8"
"OJHOWARD","TE",19,"157"
"PATRICKMAHOMES","QB",20,"120.4"
"PAULRICHARDSON","WR",14.5,"165"
"PEYTONBARBER","RB",16.6,"124.8"
"PHILADELPHIAEAGLES","DST",20,"125.8"
"PHILDAWSON","K",20,"298.0"
"PHILIPRIVERS","QB",9.5,"105"
"PHILLIPDORSETT","WR",20,"289.0"
"PHILLIPLINDSAY","RB",20,"339.0"
"PIERREGARCON","WR",9.1,"110.8"
"PITTSBURGHSTEELERS","DST",20,"193.5"
"QUINCYENUNWA","WR",20,"238.8"
"RANDALLCOBB","WR",9.9,"93.9"
"RASHAADPENNY","RB",6.8,"52.2"
"REXBURKHEAD","RB",8,"56.2"
"RICKYSEALSJONES","TE",20,"201.8"
"RICOGATHERS","TE",20,"271.0"
"RILEYMCCARRON","WR",20,"297.0"
"RISHARDMATTHEWS","WR",19.4,"156.8"
"ROBBIEGOULD","K",20,"191.4"
"ROBBYANDERSON","WR",8.3,"88.3"
"ROBERTKELLEY","RB",20,"150.0"
"ROBERTOAGUAYO","K",20,"365.0"
"ROBERTWOODS","WR",9,"94.9"
"ROBGRONKOWSKI","TE",3.7,"22.9"
"RODSMITH","RB",20,"259.7"
"RONALDJONES","RB",6.9,"56.4"
"ROYCEFREEMAN","RB",5.7,"39.3"
"RUSSELLWILSON","QB",7.7,"59.1"
"RYANFITZPATRICK","QB",20,"287.5"
"RYANGRANT","WR",20,"249.3"
"RYANGRIFFIN","TE",20,"304.0"
"RYANNALL","RB",20,"345.0"
"RYANSUCCOP","K",20,"284.3"
"RYANSWITZER","WR",20,"346.0"
"RYANTANNEHILL","QB",20,"204.3"
"SAMAJEPERINE","RB",18.6,"139.3"
"SAMBRADFORD","QB",20,"213.0"
"SAMDARNOLD","QB",20,"220.7"
"SAMMIECOATES","WR",20,"356.0"
"SAMMYWATKINS","WR",6.9,"72.3"
"SANFRANCISCO49ERS","DST",20,"318.0"
"SAQUONBARKLEY","RB",1.3,"5.7"
"SEATTLESEAHAWKS","DST",20,"176.7"
"SEBASTIANJANIKOWSKI","K",20,"352.0"
"SETHDEVALVE","TE",20,"330.0"
"SETHROBERTS","WR",20,"320.0"
"SHANEVEREEN","RB",20,"298.0"
"SHAUNWILSON","RB",20,"331.0"
"SIMMIECOBBS","WR",20,"293.0"
"SONYMICHEL","RB",8.9,"66.9"
"SPENCERWARE","RB",14.3,"162"
"STEFONDIGGS","WR",3.4,"28.5"
"STEPHENANDERSON","TE",20,"337.0"
"STEPHENGOSTKOWSKI","K",20,"132.8"
"STERLINGSHEPARD","WR",10,"125.7"
"STEVENHAUSCHKA","K",20,"259.0"
"TAMPABAYBUCCANEERS","DST",20,"295.0"
"TARIKCOHEN","RB",7.9,"90"
"TAVONAUSTIN","WR",20,"264.0"
"TAYLORGABRIEL","WR",20,"308.3"
"TAYWANTAYLOR","WR",20,"272.3"
"TEDDYBRIDGEWATER","QB",20,"321.0"
"TEDGINN","WR",20,"195.8"
"TENNESSEETITANS","DST",20,"201.5"
"TERRANCEWEST","RB",20,"332.0"
"TERRANCEWILLIAMS","WR",20,"245.3"
"TERRELLEPRYOR","WR",20,"239.0"
"TERRYSWANSON","RB",20,"307.0"
"TEVINCOLEMAN","RB",8.4,"73.9"
"THEORIDDICK","RB",20,"181.0"
"TJYELDON","RB",20.7,"159.5"
"TODDGURLEY","RB",0.7,"1.4"
"TOMBRADY","QB",8.7,"52.3"
"TORREYSMITH","WR",20,"323.0"
"TRAVISBENJAMIN","WR",20,"277.3"
"TRAVISKELCE","TE",4.2,"33.3"
"TRENTONCANNON","RB",20,"296.0"
"TRENTTAYLOR","WR",20,"305.0"
"TREQUANSMITH","WR",20,"249.0"
"TREVORSIEMIAN","QB",20,"322.0"
"TREYBURTON","TE",13.2,"98.4"
"TREYEDMUNDS","RB",20,"325.0"
"TYHILTON","WR",2.9,"27.2"
"TYLERBOYD","WR",20,"327.0"
"TYLEREIFERT","TE",17.1,"133.8"
"TYLERHIGBEE","TE",20,"317.0"
"TYLERKROFT","TE",20,"307.0"
"TYLERLOCKETT","WR",16.2,"140"
"TYMONTGOMERY","RB",12.3,"111.5"
"TYREEKHILL","WR",4.2,"33.6"
"TYRELLWILLIAMS","WR",17.4,"159.2"
"TYRODTAYLOR","QB",11.4,"162.5"
"VANCEMCDONALD","TE",20,"219.0"
"VERNONDAVIS","TE",20,"254.0"
"VIRGILGREEN","TE",20,"299.7"
"WASHINGTONREDSKINS","DST",20,"285.0"
"WAYNEGALLMAN","RB",20,"288.7"
"WILLFULLER","WR",7,"63.4"
"WILLIESNEAD","WR",20,"281.7"
"WILLUTZ","K",20,"181.4"
"ZACHERTZ","TE",5.7,"43.1"
"ZANEGONZALEZ","K",20,"366.0"
"ZAYJONES","WR",20,"284.3"
NA,"K",20,"354.0"
NA,"K",20,"367.0"
NA,"RB",20,"282.0"
NA,"RB",20,"300.0"
NA,"RB",20,"322.0"
NA,"TE",20,"285.0"
NA,"TE",20,"243.5"
NA,"TE",20,"286.0"
NA,"WR",20,"199.0"
NA,"WR",20,"239.0"
NA,"WR",20,"129.7"
NA,"WR",20,"295.0"
NA,"WR",20,"312.0"
