"playerId","dstInt","dstFumlRec","dstSack","dstTd","dstSafety","dstPtsAllow","analyst","player","position","games","dstBlk","returnYds","dstRetTd","season"
100008,12,14,33,4,0,325,-1,"Cowboys","DST",NA,NA,NA,NA,2016
100009,16,16,39,5,0,290,-1,"Broncos","DST",NA,NA,NA,NA,2016
100010,11,10,32,4,1,372,-1,"Lions","DST",NA,NA,NA,NA,2016
100011,15,10,34,4,1,341,-1,"Packers","DST",NA,NA,NA,NA,2016
100012,17,10,39,5,0,342,-1,"Titans","DST",NA,NA,NA,NA,2016
100013,17,11,36,5,0,305,-1,"Texans","DST",NA,NA,NA,NA,2016
100014,15,13,33,4,0,371,-1,"Colts","DST",NA,NA,NA,NA,2016
100015,15,11,38,4,0,391,-1,"Jaguars","DST",NA,NA,NA,NA,2016
100016,18,16,26,5,0,305,-1,"Chiefs","DST",NA,NA,NA,NA,2016
100018,17,16,27,5,0,357,-1,"Raiders","DST",NA,NA,NA,NA,2016
100019,17,11,30,5,0,376,-1,"Dolphins","DST",NA,NA,NA,NA,2016
100020,17,15,41,6,1,316,-1,"Vikings","DST",NA,NA,NA,NA,2016
100021,16,13,34,5,0,256,-1,"Patriots","DST",NA,NA,NA,NA,2016
100022,13,15,29,4,0,437,-1,"Saints","DST",NA,NA,NA,NA,2016
100023,16,13,30,5,0,301,-1,"Giants","DST",NA,NA,NA,NA,2016
100024,12,11,31,4,0,401,-1,"Jets","DST",NA,NA,NA,NA,2016
100025,16,16,34,5,0,351,-1,"Eagles","DST",NA,NA,NA,NA,2016
100026,15,15,44,5,0,316,-1,"Cardinals","DST",NA,NA,NA,NA,2016
100027,14,15,38,4,0,299,-1,"Steelers","DST",NA,NA,NA,NA,2016
100028,14,12,39,2,0,359,-1,"Rams","DST",NA,NA,NA,NA,2016
100029,15,11,31,4,0,391,-1,"49ers","DST",NA,NA,NA,NA,2016
100030,14,12,40,4,0,274,-1,"Seahawks","DST",NA,NA,NA,NA,2016
100031,16,15,39,5,1,376,-1,"Buccaneers","DST",NA,NA,NA,NA,2016
100032,13,13,34,4,0,376,-1,"Redskins","DST",NA,NA,NA,NA,2016
100001,0,0,0,0,0,0,3,"Falcons","DST",NA,0,0,0,2016
100002,0,0,0,0,0,0,3,"Ravens","DST",NA,0,0,0,2016
100003,0,0,0,0,0,0,3,"Bills","DST",NA,0,0,0,2016
100004,0,0,0,0,0,0,3,"Panthers","DST",NA,0,0,0,2016
100005,0,0,0,0,0,0,3,"Bears","DST",NA,0,0,0,2016
100006,0,0,0,0,0,0,3,"Bengals","DST",NA,0,0,0,2016
100007,0,0,0,0,0,0,3,"Browns","DST",NA,0,0,0,2016
100008,0,0,0,0,0,0,3,"Cowboys","DST",NA,0,0,0,2016
100009,0,0,0,0,0,0,3,"Broncos","DST",NA,0,0,0,2016
100010,0,0,0,0,0,0,3,"Lions","DST",NA,0,0,0,2016
100011,0,0,0,0,0,0,3,"Packers","DST",NA,0,0,0,2016
100012,0,0,0,0,0,0,3,"Titans","DST",NA,0,0,0,2016
100013,0,0,0,0,0,0,3,"Texans","DST",NA,0,0,0,2016
100014,0,0,0,0,0,0,3,"Colts","DST",NA,0,0,0,2016
100015,0,0,0,0,0,0,3,"Jaguars","DST",NA,0,0,0,2016
100016,0,0,0,0,0,0,3,"Chiefs","DST",NA,0,0,0,2016
100018,0,0,0,0,0,0,3,"Raiders","DST",NA,0,0,0,2016
100019,0,0,0,0,0,0,3,"Dolphins","DST",NA,0,0,0,2016
100020,0,0,0,0,0,0,3,"Vikings","DST",NA,0,0,0,2016
100021,0,0,0,0,0,0,3,"Patriots","DST",NA,0,0,0,2016
100022,0,0,0,0,0,0,3,"Saints","DST",NA,0,0,0,2016
100023,0,0,0,0,0,0,3,"Giants","DST",NA,0,0,0,2016
100024,0,0,0,0,0,0,3,"Jets","DST",NA,0,0,0,2016
100025,0,0,0,0,0,0,3,"Eagles","DST",NA,0,0,0,2016
100026,0,0,0,0,0,0,3,"Cardinals","DST",NA,0,0,0,2016
100027,0,0,0,0,0,0,3,"Steelers","DST",NA,0,0,0,2016
100029,0,0,0,0,0,0,3,"49ers","DST",NA,0,0,0,2016
100030,0,0,0,0,0,0,3,"Seahawks","DST",NA,0,0,0,2016
100031,0,0,0,0,0,0,3,"Buccaneers","DST",NA,0,0,0,2016
100032,0,0,0,0,0,0,3,"Redskins","DST",NA,0,0,0,2016
100001,NA,NA,NA,NA,NA,NA,5,"Falcons","DST",NA,NA,NA,NA,2016
100002,NA,NA,NA,NA,NA,NA,5,"Ravens","DST",NA,NA,NA,NA,2016
100003,NA,NA,NA,NA,NA,NA,5,"Bills","DST",NA,NA,NA,NA,2016
100004,NA,NA,NA,NA,NA,NA,5,"Panthers","DST",NA,NA,NA,NA,2016
100005,NA,NA,NA,NA,NA,NA,5,"Bears","DST",NA,NA,NA,NA,2016
100006,NA,NA,NA,NA,NA,NA,5,"Bengals","DST",NA,NA,NA,NA,2016
100007,NA,NA,NA,NA,NA,NA,5,"Browns","DST",NA,NA,NA,NA,2016
100008,NA,NA,NA,NA,NA,NA,5,"Cowboys","DST",NA,NA,NA,NA,2016
